comment,label
Nếu đã chấp nhận nhỏ thì nên để cam bé lại 1 xíu như pixel của google cũng đc. Nếu được thi đúng là tuyệt phẩm.,positive
ước gì Iphone bỏ tai thỏ,neutral
Chỉ là Bình mới rựu cũ thôi.,negative
Nhỏ gọn nhưng tôi cần pin tốt nữa,positive
"Chưa gom đủ tiền mua Iphone 11, giờ lại ra Iphone 12 Chờ ra Iphone 15 mua luôn",neutral
Mới làm 1 e iphone se,positive
Chắc cũng phải tới lúc lên đời từ 6s+ rồi. Đợi tháng 10 coi có đủ xèn không đây.,neutral
Các ifan lại mệt rồi,negative
"Mình đang dùng con mimax 3, rất nhỏ gọn có 6,9 inch bọ. Rất phê.",positive
Về việt nam thì giá cao ngất ngưởng,negative
Cái tai thỏ thật là đáng ghét,negative
Cam xấu quá,negative
Theo tiêu chuẩn của Mỹ thì tất cả các app có nguồn gốc từ Nga đều không an toàn. Đơn giản vậy thôi,negative
NÓI KHÔNG với các ứng dụng thế này là cách tốt nhất để bảo vệ tài khoản Facebook và tránh các phiền phức không đáng có.,negative
Nói gì thì nói chứ đồng chí Elon nhìn ổn phết đấy chứ =)))),positive
của Nga yên tâm mà sài,positive
Nokia 110i chấp mọi bảo mật,positive
"Không sao hết, giá thiết bị và giá ứng dụng càng đắt, ifan càng thích vì thể hiện được đẳng cấp",positive
Đó không phải độc quyền. Đó là 1 tính năng của ios,neutral
Tui đồng ý điều tra chống độc quyền với Apple.,positive
Nếu có độc quyền thật thì đề nghị EU trừng phạt nặng nhất.,negative
Mục đích của mình chủ yếu là ngắm người đẹp thôi,neutral
Điện thoại đang quay người đẹp là điện thoại có màn hình đẹp nhất nhé!,positive
Active 3 màu sắc đẹp nhất. Màn amoled đẹp hơn hẳn. Ra ngoài trời nhất là nắng gắt vẫn thấy rõ. Còn màn khác ra trời nắng tối hù ko thấy gì,positive
Vsmart công nhận ra mấy dòng điện thoại cạnh tranh ngay cả được với hàng tq. like cho sản phẩm việt,positive
"Không công bằng lắm, cho ra ngoài trời thì cái nào sáng nhất thì dễ nhìn và gây chú ý nhất thôi.",negative
Vsmart cạnh tranh tốt thật. Hi vọng hàng việt vươn xa thế này,positive
Điên thoại Trung Quốc tôi không thèm ngó.,negative
"Active nhất, đi ra nắng vẫn xem tốt!",positive
"Vsmart màu sắc ổn nhất mà, bắt mắt. Giá quá ngon trong phân khúc tầm trung.",positive
Ngoài trời có thấy gì đâu. B rõ nhất thì chọn B thôi.,neutral
"Mẫu xinh quá, active của mình đang dùng cũng đẹp nè hihi",positive
"Mình dùng qua mấy con tầm giá này của 2,3 hãng khác mà giờ chuyển qua con vsmart này thấy thích hơn hẳn luôn ý, cấu hình tốt mà kiểu nó cũng đẹp cơ",positive
Đầu óc anh Vượng thật tinh tế,positive
"Vsmart thật bất ngờ, thật sự bất ngờ.",positive
"Hiện tại điện thoại đang bão hòa, cạnh tranh về giá. Các sản phẩm đều chất lượng. Nhưng vẫn ưu tiên hàng việt",positive
"Mình đang dùng active3, cấu hình vượt hơn mấy con cùng phân khúc nói chung là ngon",positive
Đang xài oppo reno 2F và Iphone 7 plus cùng huawei p30 pro cảm thấy rất hài lòng nên không cần phải đổi,positive
"Màn active 3 nhìn ưng nhòooooooo, làm mình lại tiếc đợt sale k mua, hừmmmm",positive
Đang dùng vsmart live màn hình oled thấy rất ổn nha,positive
"Wow...nhìn ngoài trời mà màn hình vsmart vẫn quá ngon, giá cũng mềm, pin thì trâu... chơi vậy ai chơi lại trời!!!",positive
Giá ngon quay đẹp rồi mẫu đẹp thì quá ngonnn rồii,positive
Không công bằng. Phải chỉnh độ sáng bằng nhau mới được,negative
Dĩ nhiên là điện thoại còn ở trong hộp chưa sử dụng,neutral
"Mình sử dụng Samsung A20s vẫn sáng đẹp, sắc nét mà.",positive
Đợi khi nào còn 20 triệu mua là vừa,neutral
"Tivi là sản phẩm mau mất giá nhất, chờ sang năm em này còn 26tr mua!",positive
"Đẹp đấy, chất đấy và cũng rất là thích nhưng em lại ko có tiền.",positive
Khi nào có phim 8k thì mua. Giờ mua về mà không biết xem phim 8k ở đâu thì phí cái tivi.,negative
Tầm 10tr mua được,neutral
"Tv cao cấp của Sony thiết kể tối giản, rất sang trọng, âm thanh phê...đã trải nghiệm tv cao cấp Sony",positive
Giá trên trời,negative
Tivi 8k nhưng mạng chạy được 4k vậy mua e nó quá lãng phí,negative
Mua phí tiền mà chả có tác dụng gì.ở vn hiện nay 4k còn ít nói gì đến 8k.đến khi vn có 8k thì giá chắc chỉ còn 20-30 tr.,negative
"Ultra S20 đang giảm sâu, cơ hội cho những ai thích Android mà có camera đẹp, tôi thấy đây là chiếc điện thoại đáng tiền nhất bây giờ, dùng phê khỏi nghĩ",positive
"Mê luôn camera Samsung, đặc biệt là Ultra S20",positive
"Dù không phải model mới nhất nhưng mình vẫn rất mê camera của Note 10 đang dùng, nói chung với mình camera của Samsung vẫn khiến mình ưng nhất",positive
"biết ngay sẽ có S20 Ultra mà, siêu đỉnh luôn",positive
Bộ 2 S20 con nào chụp ảnh cũng tốt đều ưng cả,positive
"Chăn cái anh Sony, người ta model 10-20, còn anh ấy vẫn giữ nét cổ điển với cái tên còn cổ hơn Xperia 1 )",negative
"BPhone86 nữa chứ, chụp ngang 11pro max, s20 ultra mà, thật là thiếu sót mà.",negative
"Ứ chịu đâu, sao không có B86 trong này?",negative
"ơ, nhiếp ảnh điện toán k thua gì pixel4, ip11 cơ mà, sao lại k có mặt trong danh sách này?",neutral
Kéo xuống mãi mà không thấy Bphone với Vsmart đâu,neutral
Hy vọng sony phát triển các sản phẩm tốt hơn để mình được quay trở lại với tình yêu ban đầu.,positive
"Pixel 4 chụp ảnh đẹp nhất, màn cũng đẹp nhất, mỗi tội pin quá lởm.",positive
Vậy là cái ip gần hết vòng đời đứng nhất hả ? Nghe là nó thua cả s7 mà,negative
Sao không thấy Loạt Máy chụp ảnh nghe gọi liên tục 1 tháng mới hết pin,neutral
Lại giống sony lg nokia huyền thoại. Ngoại hình không có gì nổi bật hay theo xu hướng. Tính năng thì không có gì đặc biệt,neutral
Thôi em lạy các anh. Gập với chả gấp. Chẵng có tí hứng thú gì với cái thể loại này.,negative
Khi chưa tự chủ được công nghệ sản xuất màn hình thì làm sao mà làm màn hình gập dẻo được cơ chứ.,negative
Vài năm nữa mặt sau sẽ toàn bộ camera,negative
Cứ nhieu đó làm tới làm lui hoài chủ yếu đánh tâm lý người mê công nghệ đt...Rồi đây Samsung sẽ ra mắt 1000 camera.,negative
"Sao không tiện thì nộp luôn cái bằng sáng chế 8,16,32 hay 64 cam luôn đi ạ. Ối thánh thần ôi",negative
"Trong tương lai, mặt sau của điện thoại Samsung sẽ phủ kín camera.",negative
Mình thấy phần cứng của HTC làm rất tốt . Màn hình rất khó vỡ,positive
"Mình cũng trải nghiệm qua M7 và HTC10, nhưng sợ nó rồi.",negative
Cái giá ảo tưởng,negative
Ôi! thời oanh liệt nay còn đâu. htc cách bố trí boad mạch qúa nhiều dây. linh kiện khó tìm. đắt.... ss.ip.oppo... là lựa chọn tốt nhất,negative
Lại chết vì cái giá,negative
HTC sài thời gian pin quá tệ.phần cứng hay phần mềm đều k tương xứng với giá tiền. Chỉ mượt lúc mới mua về.,negative
Ủa hãng này còn sống hả?,negative
Thiết kế bình thường. Giá thì cao. Nói chung. Không đáng mua,negative
apple bây giờ chắc còn mỗi cái ios là chưa đem đi gia công thôi,neutral
"Ip chỉ làm được như thế, tuổi gì với android",negative
Chờ Apple định nghĩa lại smartphone màn hình gập kakaka. ,positive
"Các thánh thích gập thì có gập,còn nó là 1 hay 2 màn hình dính vào nhau lại là câu chuyện khác!",neutral
"Các bạn cứ trả tiền đầy đủ, thiết kế và lo sợ để apple xử lý",neutral
"Chế cho nhiều zô , rồi vẫn mua ầm ầm",neutral
Chúc Vsmart thành công. Chắc chắn mình sẽ dùng 1 chiếc,positive
Màn hình không có tai thỏ (hoặc giọt nước) sẽ mua 1 cái...,positive
"Hóng ngày ra mắt em này, luôn ủng hộ Vsmart.",positive
Máy VSmart xài cũng khá ok. Tôi tin VSmart sẽ thành công vượt trội.,positive
Mình đang dùng Vsmart Live. Chỉ có 2 từ là rất hài lòng. Mẫu này mà lên sóng chắc chắn mình xúc 1 em.,positive
"Ram nhiều chíp mạnh nhưng đó chỉ là thông số, thực tế rất tệ. Bắt sóng, wifi kém",negative
"Ngoài 10 triệu thì không so với S10 được! Tầm 7,5 triệu thì mua! Đang xài con vsmart live rất tốt",positive
"Tuyệt vời, chiếc này 4 triệu rưỡi quất ngay 1 em về chơi game",positive
"nhìn mẫu mã có vẻ hơi thường, cần đầu tư thiết kế hơn.",negative
Trên thị trường máy cấu hình như vậy có giá 7-9 tr đồng. Vsmart với phong cách của mình thì tôi mạnh dạn đoán 6trxx,neutral
đang dùng live thấy rất ok. so với sam sung và ip đâu thua kém gì. giá rẻ. với mắt đời và tai trâu như mình thì chụp ảnh và nghe đều thấy ok. đáng mua và sẽ ủng hộ vì người việt,positive
Mẫu mã VinSmart quê kệch ...không có hồn ....vô cùng chán,negative
"Cố lên Vsmart, nếu màn hình lớn hơn 6,5"", pin 5000mah trở lên tôi sẽ tậu 1 cái.",positive
Hy vọng giá tầm 4tr-5tr. Mình sẽ tậu 1 con hàng VN này.,positive
Hóng lắm rồi,positive
Đẹp quá,positive
Chuẩn bị tiền mua trả góp 1 em thôi,positive
"sản phẩm giá giảm là điều tuyệt vời cho người tiêu dùng, tôi chỉ chờ họ giảm 80% cũng đc vì tôi mua để dùng không phải để bán lại",positive
Tính mua s20+ mà thấy giá note 10 như thế này ko biết có nên chuyển qua em nó ko,neutral
Mình nghĩ cái giá này là hợp lí. Sẽ ủng hộ Samsung.,positive
Giá smartphone cao cấp chỉ đáng 16 triệu quay đầu.,neutral
Samsung rớt giá dễ sợ vậy,negative
Ko biết lợi nhuận thế nào mà giảm như vậy nhỉ,neutral
"hàng Samsung là hàng dỏm,lỗi thì nhiều giá thì trên trời giờ,mới ra treo giá qua 2 tháng rớt thê thảm cho dù có giảm xuống còn 1tr cũng không mua,nói không với samsung",negative
"Mua tháng 8 năm ngoái giá 27tr. Từ năm nay mình chuyển qua Iphone 12, ko theo dòng Note nữa.",negative
"QUAY ĐẦU LÀ BỜ, DỊCH BỆNH CƠM CÒN KHÔNG ĐỦ ĂN MÀ GIÁ BÁN TRÊN TRỜI",negative
Lợi nhuận siêu khủng từ những sản phẩm đã bán được giờ giảm những sản phẩm tồn kho vẫn lợi nhuận 20% trở lên,neutral
Chỉ là trở về với giá trị thực của nó mà thôi.,neutral
Mua Samsung khá mông lung. ),negative
Chờ xuống 7tr mua luôn ),neutral
Làm sao gì có xiền để tậu em đây?,positive
Giảm thêm nữa a Sung ơi.,neutral
Chắc là giảm để bán cho đạt chỉ tiêu 8 triệu chiếc đây mà!,neutral
Giảm kiểu này thì hãng coi người mua trước ra cái j,negative
"Này là một cửa hàng độc lập nó xả kho do note20 ra tới nơi rồi. Như đợt tab s6 ra, tab s5e cũng giảm sốc trong mấy ngày xong về lại giá bình thường.",neutral
Note 10 ngon đang xài rất ưng! Thêm con iphone 8+ đang dùng nữa ko cần nhiều ^.^,positive
"Rất mừng là đủ tiền để rước em Note 10+ rồi, say đắm em nó lâu rồi mà không đủ tiền để với.",positive
"Mong cho sp giảm sâu để NTD được trải nghiệm, đặc biệt là những người có thu nhập thấp!",neutral
Có chơi thì có chịu muốn trải nghiệm thì phải tốn tiền vậy cho nhanh dễ hiểu,neutral
Chờ Vsmart Lux ra mua dùng cho nhon.,neutral
Mua hàng muốn có lời thì nên mua con bò con về nuôi.,neutral
Nhìn cái dàn camera đằng sau . Hãng nào cũng thế phát hoảng,negative
"Tôi nghĩ rằng SS lúc mới ra họ bán 1 lời 1, giờ giảm sâu thì họ vẫn lời. Ip thì có thể bán 1 lời 2 lúc mới ra.",neutral
Thời gian nữa nó sẽ về với giá trị thực. Mọi thứ đã dần đi vào phổ thông.,neutral
Đòn bít cửa của Samsung liệu có mang lại lợi ích.,neutral
Điện thoại không google. YouTube thì ai xài.chắc chỉ bán ở TQ mà thôi.,negative
Tinh thần yêu nước của người dân Trung Quốc ủng hộ sản phẩm nước nhà thật đáng khâm phục.  ,positive
huawei cố gắng lên nhé,positive
Th4 là tháng nCovi nên đứng đầu.mà chả ai thèm quan tâm,negative
Con hổ này mà không bị kìm chân không biết nó mạnh thế nào nữa,positive
"Ủa, nghe các thánh phán HW bị mỹ dìm chết rồi mà, sao nó vẫn sống khoẻ thế này nhỉ, ka ka kaaa",positive
"Dẫn đầu nhờ thị trường nội địa , quan trọng hơn dẫn đầu nhờ thị trường lớn đang dãn cách xã hội .Chúc mừng hw",positive
Ai mua vậy tui đâu có mua,negative
dù một phút làm đại bàng vẫn hơn le lói cả trăm năm,neutral
"Sản xuất đứng đầu thế giới, còn tiêu thụ thế nào?",neutral
Tai thỏ như cũ. Apple chỉ thay đổi cạnh iphone. Camera vẫn 3 ông táo như cũ. Chán,negative
Dù iphone luôn dẫn đầu về nhiều thứ nhưng nói thật là mình rất ghét cái màn hình tai thỏ.,negative
"Thất bại về doanh số buộc Apple phải xử lý linh kiện tồn kho của Iphone 11. Bởi vậy dự đoán rằng các thế hệ 13, 14, 15 sẽ vẫn giữ nguyên thiết kế cũ.",negative
Táo thiết kế chẳng có gì đột phá cả nhưng điều quan trọng hơn mà họ làm được đó là khách hàng vẫn xuống tiền mua ầm ầm.,neutral
"Thật đáng thương cho những thế hệ, ki cóp để nuôi béo con những con gà Apple, ..., thật đáng thương thay!",negative
"Đối với thợ sửa chữa điện thoại thì là một tin vui, vì không cần phải học hay cập nhật gì nhiều về cách sửa chữa.",positive
Nhìn cái màn hình là thấy không ngon rồi.,negative
"AirPods sao mà nổ được chỉ tại anh ta không biết cách sử dụng,ai biểu đeo lên tai làm gì!!",negative
Đây là lý do lớn nhất mà bản thân Tôi không bao giờ sài tai nghe không dây. ( Sẽ có người nói là ai thích gì sài đó ok. Nhưng phòng xa vẫn hơn),negative
Nguy hiểm khó tránh .,negative
"Sợ nhỉ, tôi cũng đang dùng đây",negative
Chúc mừng các anh/chị xài Iphone sắp được dùng cái tính năng mà hơn chục năm trước đã có trên điện thoại Android.,positive
Hay quá! Iphone sắp có tính năng của Symbian Nokia 15 năm trước!,positive
"Ifan sướng rồi nhé, sắp có tính năng mới nè.",positive
"Wow, apple luôn là đỉnh của đỉnh, toàn công nghệ đi trước thập niên 80. Phen này thì chỉ có cạnh tranh với Nokia nữa thôi",positive
Chục năm về trước các hãng khác đã có ghi âm cuộc gọi rồi!,negative
2020 IP đã có ghi âm cuộc gọi.,positive
Tính năng của một con đập đá thôi mà.,negative
Tính năng này có trên Samsung và điện thoại android từ lâu. Iphone quá chậm chạp,negative
"Ko hiểu sao chức năng nay lại ko có, nhiều khi muốn ghi lại làm bằng chứng mà ko đc",negative
Thật toẹt vừa! iOS đã trang bị tính năng ghi âm cuộc gọi cho iFan.,positive
"Iphone mà có ghi âm cuộc gọi là vô địch luôn, ghi âm cuộc gọi rất cần thiết cho những ai chạy xe bên ngoài hoặc bận gì đó không có bút sổ ghi lại khi quá nhiều thứ để nhớ.",positive
Làm tôi nhớ tới Cydia.,neutral
Chúc mừng ip đã phát minh ra thứ mà nhân loại đã sử dụng hàng chục năm,positive
Còn cái tính năng lịch sử cuộc gọi nữa. Lưu được đúng 100 lượt gần nhất. Nghĩ nó chán.,negative
"Ôi trời ơi,mấy ông suốt ngày tung hô biến đâu hết rồi?",negative
Chiều lòng người châu á.,positive
nếu không lầm thì tính năng này đã có trên các đt khác từ rất lâu..Tim Cook đúng là bậc thầy về sale và marketing.,positive
"Thật đáng để chờ đợi - Một tính năng rất thần thánh, và cũng rất ""đáng đồng tiền bát gạo"".",positive
"Tính năng quan trọng, android đã có chục năm nay rồi đấy, không bảo là copy đi.",negative
"Mình thích iphone ra tính năng lưu lại lịch sử cuộc gọi như adroi, chứ toàn bị trôi đi ko hay, lưu lại vĩnh viễn như adroi là hay nhất",positive
"Ghi âm cuộc gọi từ cục gạch và androi đã có từ lâu lắm. IP sờ đâu phải mua đó,... chán + đắt + không hơn gì = không chơi IP",negative
"Mỗi người một sở thích thôi, t đã từ bỏ các điện thoại khác để theo Samsung từ S7 edge chỉ vì thích màn hình cong. Ai thích phẳng thì ok, tôn trọng thôi",positive
Mình đang dùng note 10 plus và cảm thấy màn hình cong rất tuyệt. Hi vọng samsung vẫn giữ điều này trên note 20 vs 20+,positive
"Đến món ăn hàng ngày mình cũng vẫn phải đổi món thường xuyên cơ mà, mặc dù vẫn là món cũ. Điện thoại cũng vậy thôi, cong rồi phẳng cũng là bình thường.",positive
Một cách gián tiếp xác nhận rằng: cong vô dụng,negative
"Đang dùng màn hình cong rất thích. Ngoài ra, Smartphone sử dụng màn hình cong thì mình sẽ biết ngay người đó đang dùng 1 Flagship- bất kể thương hiệu nào.",positive
Hết phẳng lại cong. Hết cong lại phẳng. Sức sáng tạo của Samsung thật đáng nể.,positive
"Vậy là sau bao năm đột phá màn cong mép từ thời S6 gây nhiều phiền toái, cuối cùng cũng đã bị dẹp bỏ",negative
"Note 20 phẳng, Note 20+ cong. Cho các thánh không đọc bài.",neutral
Bây giờ anh bỏ cong vô dụng và đã thẳng lại rồi nhé các em nhé.,neutral
Dám từ bỏ là đáng khen!,positive
"Lẽ ra phải có hai phiên bản từ lâu rồi mới phải, có nhiều người không hề thích cong một chút nào.",negative
"cong phẳng gì cũng được, miễn đừng có cái tai thỏ ngứa mắt như ai kia là được",negative
"Nên bỏ hẳn đi cái cong, ghét nhất là đi dán màn hình, cực thôi rồi.",negative
"Giá trị thực dụng của màn hình cong là = 0 . Và đúng như dự đoán bấy lâu nay , giờ thì Sam Đại Gia mới chịu dần loại bỏ ! Nó tựa như loại camera thò thụt vậy !",negative
"Ậy da, đúng trào lưu rồi, ai thích cong chơi cong, ai thích thẳng chơi thẳng đó nha.",positive
"Mỗi mẫu làm 2 bản 1 cong, 1 thẳng thì hay hơn cho người dùng dễ lựa chọn. xài Note nhưng vẫn thích màn hình thẳng hơn.",positive
note mà phẳng thì đúng chất nam tính rồi mà nhìn sẽ hơi thô vì 4 cạnh khá vuông,positive
Rồi sẽ đến lượt màn hình gập cũng sẽ ra đi!,negative
"Vẫn là nốt ruồi thật là buồn , tưởng là camera ẩn trên màn hình ai ngờ vẫn là đục lỗ , mình đang chờ một sản phẩm không có một khiếm khuyết nào trên màn hình cả , thật là thất vọng !",negative
Note gì thì note đừng có nốt ruồi.,negative
Cơ hội hiếm có trong ít ngày cho tín đồ Samsung công nhận ra quá trời mẫu mới rồi giảm siêu sâu luôn!,positive
"Bữa cầm cái note 10, công nhận android giờ khác xưa nhiều, mượt ghê. Đang sài iporn 8 ghẻ",positive
giờ đến lúc sắm 1 cái ultra về chụp hình cho đã,positive
Điện thoại tầm khoảng 5tr là dùng tốt rồi .mọi nguoi có cùng quan điểm ko a,neutral
Bây giờ điện thoại bão hòa rồi xài cái một triệu với cái bốn chục triệu cũng chẳng cách xa là bao công năng,neutral
Nghèo dùng iPhone. Giàu dùng Samsung. Chẳng bao giờ sai nhỉ.,neutral
Sung rụng bà con ơi,neutral
Của rẻ là của ôi,negative
Nhà Sung chào giá Sung mà rớt giá cũng Sung.,neutral
"Chứng tỏ họ ""móc túi"" người tiêu dùng kinh thật, giảm 10tr bán vẫn có lãi...Hãy là những người tiêu dùng thông minh nha mọi người",negative
Về đúng giá thực khoảng 5 triệu thì may ra bán được. Sungdroid cùng phân khúc IPhone nên bằng 1/4 giá iPhone là hợp lý.,neutral
"Giảm chục triệu nhưng cắt quà. tặng kèm, tính ra giá vẫn vậy",negative
"Lại vượt táo nữa rồi. Sung ơi chờ táo với, nghe quen quá đi.",neutral
"Câu này nghe quen quen nè ""từ từ thôi sung ơi chờ táo với"".",neutral
Hàng cao cấp? Định vị phân khúc nhắm vào đối tượng doanh nhân thành đạt như vậy là chết tôi rồi =)),negative
Mất giá sau 3 tháng ra mắt. Thật là kỷ lục.,negative
"đồ dỏm cho cũng không thèm xài chứ ở đó giảm 5tr-7tr với giảm chục triệu,đang xài Iphone,oppo,huawei hài lòng lắm rồi",positive
Thật sự năm nay S20 series khiến người dùng hụt hẫng hơn là xứng đáng!,negative
"Galaxy S đắt hàng là những lúc này đây, đã thành thông lệ, những người hầu bao không được rủng rỉnh, chả vội gì mà sếp hàng, cứ sau một năm giá mềm dùng vẫn kịp.",positive
Không có 5G thì mua làm gì?,neutral
vẫn đang dùng ip6s hàng lướt mua từ 2016 nhé,neutral
"Giảm gần 1 nửa trong chưa tới 6 tháng, chỉ ss mới làm đc thế này",positive
"Tranh thủ múc ngay thôi giá quá tốt rồi, nhưng mà chỉ có trong vài ngày thôi ai yêu em nó thì lẹ lẹ mà rước về",positive
"vẫn thích dùng Samsung vì quen Android, càng ngày càng đẹp và mượt mà",positive
Tại sao iPhone giữ giá. Vì giá trị thực của hệ sinh thái Apple mang lại sự ổn định . Bạn muốn dùng iOS chỉ có thể iPhone . Mà androi thì có rất nhiều,neutral
Làm gì làm đừng mua ss hay ip trả góp là dc nha,negative
Xài còn s8a của samsung tuổi đời gần 4 năm với giá 4tr vẫn dư dùng so với nhu cầu,positive
Cửa hàng nào bán vậy nhỉ,neutral
Thực ra chưa có lý do gì để mua máy mới. Máy cũ đang đáp ứng tốt nhu cầu. Có ra S30 ultra hay Iphone 12 plus thì cũng chưa mua.,positive
Có thấy chỗ nào bán với giá này đâu mà mua nhỉ T_T.,neutral
Còn khó khăn với dịch COVID,negative
Xúc con vsmart xem java vẫn mượt cần gì mấy con này,positive
siêu phẩm mới ra mà giảm gì ghê thế không biết,negative
"Giá đó vẫn lời mà, nói đi nói lại thực tế nó chỉ là đt tầm trung, cận cao cấp",positive
Nếu không thay tên ghi là Iphone 13 thì 100% người châu Á sẽ không ai mua con số này.,negative
"Làm gì làm đừng quay về vân tay là được, cổ lổ sĩ lắm rồi!",negative
"Từ tai thỏ sao không nhảy sang tai trâu,để đi trước anh Sam.",negative
10 năm nữa đi hé. Mơ cũng không thấy táo có thiết kế đẹp như vậy đâu. Tin tôi đi,negative
"Mỗi cái tai thỏ bao năm chưa bỏ đi dc , chán quá",negative
Cảm biến vân tay khi bị bồ canh mình ngủ mở khoá ip của mình là toang,neutral
Để làm đc điều này apple sử dụng màn hình công nghệ mới của samsung.,neutral
Hẳn là phải 3 năm nữa.. vì face id vẫn chưa hết hot và vẫn còn thu nhỏ được.....,neutral
"Samsung gọi camera là nốt ruồi, con nhộng. Còn iphone gọi là mụn cóc va con nhím.",neutral
 Cái cục nhựa thôi mà.,negative
SE 2020 giá tại VN từ 6-7 tr thì sẽ đắt hàng,neutral
"Pin là cái tệ nhất của IP , lại ra cái phiên bản tệ trong tệ nữa ai mà mua.",negative
Thời buổi khóa khăn ntn trên 10tr là căng lắm,negative
